,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9592326139088729,1.0,1.0
recall,0.9445,1.0,0.6385,0.945
f1,0.9714579583440472,0.9791921664626683,0.7793713762587732,0.9717223650385605
accuracy,0.97225,0.97875,0.81925,0.9725
specificity,1.0,0.9575,1.0,1.0
sensitivity,0.9445,1.0,0.6385,0.945
avg_detection_time,2.7182102203369142e-05,6.65939450263977e-05,6.695014238357544e-05,0.00016853666305541992
true_negatives,2000.0,1915.0,2000.0,2000.0
false_positives,0.0,85.0,0.0,0.0
false_negatives,111.0,0.0,723.0,110.0
true_positives,1889.0,2000.0,1277.0,1890.0
